dept,number,dept 2,number 2,dept 3,number 3,dept 4,number 4,dept 5,number 5,course name,credits,evals,freshman,sophomore,junior,senior,year 5,masters,other,phd
EASTASN,97,EASTASN,297,,,,,,,The International Relations of Asia since World War II,5,39,11,0,0,6,0,83,0,0
EASTASN,179,EASTASN,279,,,,,,,Rebalancing Economic Systems in a World Driven by Tech: Quality-of-Life in Socio-Cultural Context,4,0,,,,,,,,
ECON,1,,,,,,,,,Principles of Economics,5,674,66,21,6,3,0,0,4,0
ECON,44,,,,,,,,,The Modern Financial System,3,0,,,,,,,,
ECON,50,,,,,,,,,Economic Analysis I,5,340,14,65,17,3,0,1,0,0
ECON,52,,,,,,,,,Economic Analysis III,5,149,4,46,37,12,0,1,0,0
ECON,102A,,,,,,,,,Introduction to Statistical Methods (Postcalculus) for Social Scientists,5,225,22,50,13,9,1,3,0,2
ECON,102B,,,,,,,,,Applied Econometrics,5,137,4,53,28,11,0,1,0,3
ECON,102C,,,,,,,,,Advanced Topics in Econometrics,5,38,6,25,6,19,0,6,0,38
ECON,118,,,,,,,,,Development Economics,5,68,0,4,46,41,0,7,0,2
ECON,131,,,,,,,,,The Chinese Economy,4,18,,,,,,,,
ECON,136,,,,,,,,,Market Design,5,88,0,24,58,12,0,0,0,6
ECON,144,,,,,,,,,Family and Society,5,9,,,,,,,,
ECON,149,,,,,,,,,The Modern Firm in Theory and Practice,5,73,0,2,70,28,0,0,0,0
ECON,150,PUBLPOL,104,PUBLPOL,204,,,,,Economic Policy Analysis,5,43,0,7,41,45,0,7,0,0
ECON,155,,,,,,,,,Environmental Economics and Policy,5,53,0,16,39,34,2,5,2,2
ECON,178,,,,,,,,,Behavioral Economics,5,127,7,23,42,28,0,0,0,0
ENGLISH,10D,,,,,,,,,"Introduction to English I: Women, Gender, and Sexuality in Early British Literature",5,0,,,,,,,,
ENGLISH,11A,,,,,,,,,Introduction to English II: From Milton to the Romantics ,5,51,,,,,,,,
ENGLISH,115G,,,,,,,,,Shakespeare: Five Tragedies,5,0,,,,,,,,
ENGLISH,160,,,,,,,,,Poetry and Poetics,5,180,15,33,24,26,0,0,0,2
ENGLISH,161,COMPLIT,161E,,,,,,,Narrative and Narrative Theory,5,175,11,26,34,23,6,0,0,0
ETHICSOC,109,,,,,,,,,On Condoned Violence: from Punishment to Pleasure,5,0,,,,,,,,
ETHICSOC,134R,POLISCI,132A,,,,,,,The Ethics of Elections,5,42,,,,,,,,
ETHICSOC,136R,INTNLREL,136R,PHIL,76,POLISCI,136R,POLISCI,336,Introduction to Global Justice,4,70,23,38,23,0,0,8,8,0
ETHICSOC,176,PHIL,176,PHIL,276,POLISCI,137A,POLISCI,337A,Political Philosophy: The Social Contract Tradition,4,11,,,,,,,,
FILMPROD,115,,,,,,,,,Immersive Cinema: Experiments in Virtual Reality,4,0,,,,,,,,
HISTORY,1B,,,,,,,,,"Global History: The Early Modern World, 1300 to 1800",5,25,30,32,19,19,0,0,0,0
HISTORY,15D,HISTORY,115D,RELIGST,115X,,,,,"Europe in the Middle Ages, 300-1500",5,34,,,,,,,,
HISTORY,39,,,,,,,,,Modern Britain and the British Empire,3,36,,,,,,,,
HISTORY,40,,,,,,,,,World History of Science,3,51,44,32,12,8,0,4,0,0
HISTORY,74,,,,,,,,,Mexico Since 1876: The Road to Ayotzinapa,3,0,,,,,,,,
HISTORY,81B,,,,,,,,,Formation of the Contemporary Middle East,3,5,,,,,,,,
HISTORY,87,,,,,,,,,"The Islamic Republics: Politics and Society in Iran, Afghanistan and Pakistan",3,48,,,,,,,,
HISTORY,139,,,,,,,,,Modern Britain and the British Empire,5,36,,,,,,,,
HISTORY,140,,,,,,,,,World History of Science,5,51,16,16,22,43,3,0,0,0
HISTORY,152K,INTNLREL,168,INTNLREL,168W,,,,,America as a World Power in the Modern Era,5,9,34,19,0,14,0,0,33,0
HISTORY,174,,,,,,,,,Mexico Since 1876: The Road to Ayotzinapa,5,0,,,,,,,,
HISTORY,181B,,,,,,,,,Formation of the Contemporary Middle East,5,32,,,,,,,,
HISTORY,187,,,,,,,,,"The Islamic Republics: Politics and Society in Iran, Afghanistan and Pakistan",5,48,13,33,21,33,0,0,0,0
HUMBIO,3A,,,,,,,,,Cell and Developmental Biology,5,314,2,94,4,0,0,0,0,0
HUMBIO,3B,,,,,,,,,Environmental and Health Policy Analysis,5,243,1,94,5,0,0,0,0,0
HUMBIO,29G,,,,,,,,,Gender and Intersectionality in Global Health,3,23,,,,,,,,
HUMBIO,88,,,,,,,,,Introduction to Statistics for the Health Sciences,4,63,10,3,35,46,6,0,0,0
HUMBIO,122E,EDUC,429,PEDS,229,,,,,Reducing Health Disparities and Closing the Achievement Gap through Health Integration in Schools,3,0,,,,,,,,
HUMBIO,129S,,,,,,,,,Global Public Health,3,114,12,9,48,26,2,3,0,0
HUMBIO,140,FEMGEN,241,MED,240,,,,,Sex and Gender in Human Physiology and Disease,3,49,2,5,50,38,3,2,0,0
HUMBIO,143,,,,,,,,,Adolescent Sexuality,4,25,0,2,58,40,0,0,0,0
HUMBIO,154C,,,,,,,,,Cancer Epidemiology,4,89,0,0,27,50,0,18,0,5
HUMBIO,174,,,,,,,,,Foundations of Bioethics,3,138,3,9,44,22,3,19,0,0
INTNLREL,110C,POLISCI,110C,POLISCI,110X,,,,,America and the World Economy,5,48,11,42,18,26,3,0,0,0
INTNLREL,143,SOC,111,SOC,211,,,,,State and Society in Korea,4,7,,,,,,,,
INTNLREL,168,HISTORY,152K,INTNLREL,168W,,,,,America as a World Power in the Modern Era,5,9,34,19,0,14,0,0,33,0
LINGUIST,105,LINGUIST,205A,,,,,,,Phonetics,4,60,,,,,,,,
LINGUIST,130A,LINGUIST,230A,,,,,,,Introduction to Semantics and Pragmatics,4,92,0,24,41,13,0,2,0,20
LINGUIST,150,,,,,,,,,Language and Society,4,47,,,,,,,,
MATH,19,,,,,,,,,Calculus,3,299,74,8,5,3,0,0,10,0
MATH,20,,,,,,,,,Calculus,3,274,89,7,3,1,0,0,0,0
MATH,21,,,,,,,,,Calculus,4,473,84,9,5,1,0,0,0,1
MATH,51,,,,,,,,,"Linear Algebra, Multivariable Calculus, and Modern Applications",5,940,81,11,2,1,0,0,4,1
MATH,52,,,,,,,,,Integral Calculus of Several Variables,5,180,62,26,8,2,1,0,0,1
MATH,53,,,,,,,,,Ordinary Differential Equations with Linear Algebra,5,244,40,42,12,4,1,0,1,0
MATH,56,,,,,,,,,Proofs and Modern Mathematics,3,0,,,,,,,,
MATH,62CM,,,,,,,,,Modern Mathematics: Continuous Methods,5,60,95,5,0,0,0,0,0,0
MATH,62DM,,,,,,,,,Modern Mathematics: Discrete Methods,5,42,,,,,,,,
MATH,104,,,,,,,,,Applied Matrix Theory,3,169,3,31,17,18,2,17,0,12
MATH,107,,,,,,,,,Graph Theory,3,53,,,,,,,,
MATH,110,,,,,,,,,Applied Number Theory and Field Theory,3,58,17,22,38,17,0,0,0,6
